SolidName,Location,Blocked,tapping,DispensingAlgorithm,Min,Max
P10-HS,0,0,100,Advanced,0.0,5.0,999
CaCO3,1,0,100,Advanced,0.0,5.0,999
FS-COF,4,0,100,Advanced,0.0,1.0,999
domen_xb_1,5,0,100,Advanced,0.0,5.0,999
pt/gcn2,-1,0,100,Advanced,0.0,5.0,499
S-CMP3,6,0,100,Advanced,0.0,5.0,999
