Name,Density,StationID,Pump,VolumePresent,Min,Max,ExpiryDate
TEOA-0-5VV,1.0,0,2,794.3595,0.0,5.0,2019.05.17.08.28.54
water,1.0,0,1,1800.4799,0.0,5.0,2019.05.19.13.32.39
NaCl-1M,1.0492,1,1,975.0,0.0,5.0,2019.05.22.17.14.10
NaNO3-1M,1.05356,1,2,975.0,0.0,5.0,2019.05.22.17.14.10
Na2SO4-1M,1.1566,1,3,975.0,0.0,5.0,2019.05.22.17.14.10
Na2CO3-1M,1.1592,1,4,975.0,0.0,5.0,2019.05.22.17.14.10
NaHCO3-1M,1.0786,1,5,900.0,0.0,5.0,2019.05.22.19.17.49
Na2PO4-0-5M,1.1268,1,6,975.0,0.0,5.0,2019.05.22.17.14.10
